Место,Дата,Номер,Продукт,Категория,Цена,Количество
Трамвай,2019-10-24,178129949,Бананы,Вкусняшка,7000,3
Тупичок,2019-10-24,888784473,Молоко,Еда,6700,3
Тупичок,2019-10-24,888784473,Мусорные пакеты,Дом,9050,3
Тупичок,2019-10-24,888784473,Черешня,Вкусняшки,15000,3
Тупичок,2019-10-24,888784473,Чернила,Работа,2200,1
Тупичок,2019-10-24,888784473,Яйца,Еда,5950,3
Тупичок,2019-10-24,888784473,Бумага туалетная,Дом,7000,2
Тупичок,2019-10-24,888784473,Сосиски молочные,Еда,20000,2
Тупичок,2019-10-24,888784473,Бананы,Вкусняшка,7000,1
Четвёрочка,2019-10-25,266653887,Бумага туалетная,Дом,7000,2
Четвёрочка,2019-10-25,266653887,Черешня,Вкусняшки,15000,3
Мячик,2019-10-26,278553298,Яйца,Еда,5950,2
Мячик,2019-10-26,278553298,Яблоки,Еда,6550,3
Мячик,2019-10-26,278553298,Яблоки,Еда,6550,3
Мячик,2019-10-26,278553298,Молоко,Еда,6700,3
Мячик,2019-10-26,278553298,Молоко,Еда,6700,2
Мячик,2019-10-26,278553298,Сосиски молочные,Еда,20000,1
Мячик,2019-10-26,278553298,Черешня,Вкусняшки,15000,3
Мячик,2019-10-26,278553298,Сосиски молочные,Еда,20000,3
Мячик,2019-10-26,278553298,Бумага туалетная,Дом,7000,2
Трамвай,2019-10-26,305371354,Молоко,Еда,6700,3
Трамвай,2019-10-26,305371354,Яблоки,Еда,6550,3
Трамвай,2019-10-26,305371354,Молоко,Еда,6700,3
Трамвай,2019-10-26,305371354,Бумага туалетная,Дом,7000,3
Трамвай,2019-10-26,305371354,Яблоки,Еда,6550,3
Трамвай,2019-10-26,305371354,Молоко,Еда,6700,2
Трамвай,2019-10-26,305371354,Сосиски молочные,Еда,20000,3
Диски,2019-10-28,531343706,Гвозди,Дом,5000,2
Диски,2019-10-28,531343706,Мусорные пакеты,Дом,9050,1
Диски,2019-10-28,531343706,Гвозди,Дом,5000,2
Диски,2019-10-28,531343706,Гвозди,Дом,5000,1
Диски,2019-10-28,531343706,Мусорные пакеты,Дом,9050,3
Диски,2019-10-28,531343706,Молочный шоколад,Вкусняшка,6900,1
Диски,2019-10-28,531343706,Гвозди,Дом,5000,3
Четвёрочка,2019-10-28,925785155,Бумага туалетная,Дом,7000,3
Четвёрочка,2019-10-28,925785155,Сосиски молочные,Еда,20000,2
Четвёрочка,2019-10-28,925785155,Сосиски молочные,Еда,20000,2
Четвёрочка,2019-10-28,925785155,Чернила,Работа,2200,3
Четвёрочка,2019-10-28,925785155,Черешня,Вкусняшки,15000,2
Четвёрочка,2019-10-28,989494912,Яблоки,Еда,6550,1
Четвёрочка,2019-10-28,989494912,Чернила,Работа,2200,3
Четвёрочка,2019-10-28,989494912,Бананы,Вкусняшка,7000,3
Четвёрочка,2019-10-28,989494912,Бумага туалетная,Дом,7000,3
Четвёрочка,2019-10-28,989494912,Гвозди,Дом,5000,2
Четвёрочка,2019-10-28,989494912,Яблоки,Еда,6550,2
Мячик,2019-10-29,266465308,Сосиски молочные,Еда,20000,3
Мячик,2019-10-29,266465308,Молочный шоколад,Вкусняшка,6900,3
Мячик,2019-10-29,266465308,Молоко,Еда,6700,3
Мячик,2019-10-29,266465308,Сосиски молочные,Еда,20000,3
Мячик,2019-10-29,266465308,Черешня,Вкусняшки,15000,3
Мячик,2019-10-29,266465308,Бумага туалетная,Дом,7000,2
Мячик,2019-10-29,266465308,Чернила,Работа,2200,3
Мячик,2019-10-29,266465308,Бумага туалетная,Дом,7000,1
Мячик,2019-10-29,266465308,Хлеб,Еда,7500,3
Мячик,2019-10-29,266465308,Бумага туалетная,Дом,7000,3
Четвёрочка,2019-10-29,125383252,Гвозди,Дом,5000,1
Четвёрочка,2019-10-29,125383252,Чернила,Работа,2200,2
Четвёрочка,2019-10-29,125383252,Чернила,Работа,2200,3
Мячик,2019-10-31,725736185,Сосиски молочные,Еда,20000,2
Мячик,2019-10-31,725736185,Молочный шоколад,Вкусняшка,6900,3
Мячик,2019-10-31,725736185,Молочный шоколад,Вкусняшка,6900,1
Мячик,2019-10-31,725736185,Яйца,Еда,5950,1
Мячик,2019-10-31,725736185,Бумага,Работа,7750,3
Мячик,2019-10-31,725736185,Черешня,Вкусняшки,15000,2
Тупичок,2019-10-31,805087816,Черешня,Вкусняшки,15000,2
Тупичок,2019-10-31,805087816,Бумага туалетная,Дом,7000,3
Тупичок,2019-10-31,805087816,Молочный шоколад,Вкусняшка,6900,1
Тупичок,2019-10-31,805087816,Сосиски молочные,Еда,20000,1
Диски,2019-11-01,228575699,Хлеб,Еда,7500,1
Диски,2019-11-01,228575699,Мусорные пакеты,Дом,9050,2
Диски,2019-11-01,228575699,Молоко,Еда,6700,2
Диски,2019-11-01,228575699,Черешня,Вкусняшки,15000,2
Диски,2019-11-01,228575699,Яйца,Еда,5950,2
Диски,2019-11-01,228575699,Молоко,Еда,6700,3
Диски,2019-11-01,228575699,Бумага,Работа,7750,3
Диски,2019-11-01,964354846,Чернила,Работа,2200,2
Диски,2019-11-01,964354846,Бумага туалетная,Дом,7000,1
Диски,2019-11-01,964354846,Мусорные пакеты,Дом,9050,3
Диски,2019-11-01,964354846,Бумага туалетная,Дом,7000,2
Диски,2019-11-01,964354846,Яйца,Еда,5950,2
Диски,2019-11-01,964354846,Бумага туалетная,Дом,7000,3
Диски,2019-11-01,964354846,Молоко,Еда,6700,2
Диски,2019-11-01,964354846,Бумага,Работа,7750,1
Диски,2019-11-02,19758709,Мусорные пакеты,Дом,9050,3
Диски,2019-11-02,19758709,Молочный шоколад,Вкусняшка,6900,1
Диски,2019-11-02,19758709,Сосиски молочные,Еда,20000,3
Диски,2019-11-02,19758709,Бумага,Работа,7750,1
Диски,2019-11-02,19758709,Хлеб,Еда,7500,1
Мячик,2019-11-03,453223130,Мусорные пакеты,Дом,9050,3
Мячик,2019-11-03,453223130,Молочный шоколад,Вкусняшка,6900,2
Мячик,2019-11-03,453223130,Яйца,Еда,5950,1
Мячик,2019-11-03,453223130,Гвозди,Дом,5000,3
Мячик,2019-11-03,453223130,Бумага туалетная,Дом,7000,2
Мячик,2019-11-03,453223130,Чернила,Работа,2200,2
Мячик,2019-11-03,453223130,Мусорные пакеты,Дом,9050,3
Мячик,2019-11-03,453223130,Яйца,Еда,5950,3
Мячик,2019-11-03,453223130,Молоко,Еда,6700,3
Диски,2019-11-03,183275026,Молочный шоколад,Вкусняшка,6900,3
Диски,2019-11-03,183275026,Бананы,Вкусняшка,7000,2
Диски,2019-11-03,183275026,Чернила,Работа,2200,2
Диски,2019-11-03,183275026,Бананы,Вкусняшка,7000,1
Диски,2019-11-03,183275026,Мусорные пакеты,Дом,9050,2
Диски,2019-11-03,183275026,Бумага,Работа,7750,3
Диски,2019-11-03,296002950,Сосиски молочные,Еда,20000,1
Диски,2019-11-03,296002950,Бумага туалетная,Дом,7000,2
Диски,2019-11-03,296002950,Молоко,Еда,6700,3
Диски,2019-11-03,296002950,Яблоки,Еда,6550,1
Диски,2019-11-03,296002950,Бумага туалетная,Дом,7000,1
Диски,2019-11-03,968936646,Молочный шоколад,Вкусняшка,6900,1
Диски,2019-11-03,968936646,Гвозди,Дом,5000,2
Диски,2019-11-03,968936646,Сосиски молочные,Еда,20000,2
Диски,2019-11-03,968936646,Гвозди,Дом,5000,3
Диски,2019-11-03,968936646,Бумага,Работа,7750,1
Диски,2019-11-03,968936646,Яйца,Еда,5950,2
Диски,2019-11-03,968936646,Черешня,Вкусняшки,15000,1
Диски,2019-11-03,968936646,Хлеб,Еда,7500,3
Диски,2019-11-03,968936646,Бумага туалетная,Дом,7000,1
Диски,2019-11-03,968936646,Гвозди,Дом,5000,3
Трамвай,2019-11-04,614326292,Яблоки,Еда,6550,1
Трамвай,2019-11-04,614326292,Яйца,Еда,5950,3
Диски,2019-11-04,563890904,Мусорные пакеты,Дом,9050,3
Диски,2019-11-04,563890904,Мусорные пакеты,Дом,9050,3
Диски,2019-11-04,563890904,Бумага,Работа,7750,2
Диски,2019-11-04,563890904,Чернила,Работа,2200,2
Диски,2019-11-04,563890904,Мусорные пакеты,Дом,9050,2
Диски,2019-11-04,563890904,Чернила,Работа,2200,2
Диски,2019-11-04,563890904,Сосиски молочные,Еда,20000,2
Диски,2019-11-04,563890904,Хлеб,Еда,7500,3
Тупичок,2019-11-04,338231602,Бананы,Вкусняшка,7000,3
Тупичок,2019-11-04,338231602,Молоко,Еда,6700,2
Тупичок,2019-11-04,338231602,Бумага,Работа,7750,2
Тупичок,2019-11-04,338231602,Чернила,Работа,2200,1
Тупичок,2019-11-04,338231602,Чернила,Работа,2200,1
Тупичок,2019-11-04,338231602,Бананы,Вкусняшка,7000,2
Тупичок,2019-11-04,338231602,Гвозди,Дом,5000,3
Тупичок,2019-11-04,338231602,Яйца,Еда,5950,3
Трамвай,2019-11-05,397419103,Бананы,Вкусняшка,7000,2
Трамвай,2019-11-05,397419103,Хлеб,Еда,7500,3
Трамвай,2019-11-05,397419103,Гвозди,Дом,5000,1
Трамвай,2019-11-05,397419103,Бумага,Работа,7750,3
Тупичок,2019-11-05,968579480,Бананы,Вкусняшка,7000,3
Тупичок,2019-11-05,968579480,Хлеб,Еда,7500,3
Тупичок,2019-11-05,968579480,Мусорные пакеты,Дом,9050,2
Тупичок,2019-11-05,968579480,Чернила,Работа,2200,2
Трамвай,2019-11-07,614820777,Сосиски молочные,Еда,20000,2
Трамвай,2019-11-07,614820777,Бумага,Работа,7750,2
Трамвай,2019-11-07,614820777,Яблоки,Еда,6550,2
Трамвай,2019-11-07,614820777,Бумага,Работа,7750,3
Трамвай,2019-11-07,614820777,Бананы,Вкусняшка,7000,1
Трамвай,2019-11-07,614820777,Яблоки,Еда,6550,3
Трамвай,2019-11-07,614820777,Бумага,Работа,7750,2
Трамвай,2019-11-07,614820777,Черешня,Вкусняшки,15000,2
Трамвай,2019-11-07,614820777,Молоко,Еда,6700,2
Диски,2019-11-08,992993550,Бумага,Работа,7750,2
Диски,2019-11-08,992993550,Бумага,Работа,7750,3
Диски,2019-11-08,992993550,Яблоки,Еда,6550,1
Диски,2019-11-08,992993550,Сосиски молочные,Еда,20000,1
Диски,2019-11-08,992993550,Мусорные пакеты,Дом,9050,2
Диски,2019-11-08,992993550,Бананы,Вкусняшка,7000,2
Диски,2019-11-08,992993550,Черешня,Вкусняшки,15000,3
Диски,2019-11-08,992993550,Хлеб,Еда,7500,3
Диски,2019-11-08,992993550,Бананы,Вкусняшка,7000,1
Диски,2019-11-08,992993550,Бумага,Работа,7750,3
Диски,2019-11-08,726248480,Сосиски молочные,Еда,20000,2
Диски,2019-11-08,726248480,Черешня,Вкусняшки,15000,3
Диски,2019-11-08,726248480,Хлеб,Еда,7500,2
Диски,2019-11-08,726248480,Молоко,Еда,6700,3
Диски,2019-11-08,726248480,Чернила,Работа,2200,1
Диски,2019-11-08,726248480,Хлеб,Еда,7500,2
Диски,2019-11-08,726248480,Хлеб,Еда,7500,3
Диски,2019-11-08,726248480,Яблоки,Еда,6550,1
Диски,2019-11-08,726248480,Сосиски молочные,Еда,20000,1
Тупичок,2019-11-08,907778025,Гвозди,Дом,5000,2
Тупичок,2019-11-08,907778025,Яблоки,Еда,6550,1
Тупичок,2019-11-08,907778025,Яйца,Еда,5950,1
Тупичок,2019-11-08,907778025,Хлеб,Еда,7500,1
Тупичок,2019-11-08,907778025,Мусорные пакеты,Дом,9050,1
Тупичок,2019-11-08,907778025,Чернила,Работа,2200,2
Диски,2019-11-09,499319489,Черешня,Вкусняшки,15000,3
Диски,2019-11-09,499319489,Бумага туалетная,Дом,7000,1
Диски,2019-11-09,499319489,Гвозди,Дом,5000,3
Диски,2019-11-09,499319489,Молочный шоколад,Вкусняшка,6900,1
Диски,2019-11-09,499319489,Мусорные пакеты,Дом,9050,1
Диски,2019-11-09,499319489,Молоко,Еда,6700,1
Диски,2019-11-09,499319489,Сосиски молочные,Еда,20000,3
Диски,2019-11-09,499319489,Бумага,Работа,7750,3
Диски,2019-11-09,499319489,Чернила,Работа,2200,3
Четвёрочка,2019-11-10,888542500,Бумага,Работа,7750,3
Четвёрочка,2019-11-10,888542500,Молоко,Еда,6700,1
Четвёрочка,2019-11-10,888542500,Яйца,Еда,5950,1
Четвёрочка,2019-11-10,888542500,Молоко,Еда,6700,1
Четвёрочка,2019-11-10,888542500,Бумага,Работа,7750,1
Четвёрочка,2019-11-10,888542500,Чернила,Работа,2200,1
Четвёрочка,2019-11-10,888542500,Молоко,Еда,6700,1
Четвёрочка,2019-11-10,888542500,Бананы,Вкусняшка,7000,1
Четвёрочка,2019-11-10,888542500,Молочный шоколад,Вкусняшка,6900,3
Четвёрочка,2019-11-10,888542500,Чернила,Работа,2200,1
Трамвай,2019-11-10,596025104,Бумага,Работа,7750,1
Трамвай,2019-11-10,596025104,Мусорные пакеты,Дом,9050,3
Трамвай,2019-11-10,596025104,Мусорные пакеты,Дом,9050,1
Трамвай,2019-11-10,596025104,Бананы,Вкусняшка,7000,1
Диски,2019-11-10,422604512,Бумага,Работа,7750,2
Диски,2019-11-10,422604512,Гвозди,Дом,5000,3
Диски,2019-11-10,422604512,Сосиски молочные,Еда,20000,1
Диски,2019-11-10,422604512,Чернила,Работа,2200,3
Диски,2019-11-10,422604512,Сосиски молочные,Еда,20000,3
Диски,2019-11-10,422604512,Гвозди,Дом,5000,1
Диски,2019-11-10,103040308,Бумага туалетная,Дом,7000,2
Диски,2019-11-10,103040308,Бумага туалетная,Дом,7000,1
Диски,2019-11-10,103040308,Бумага туалетная,Дом,7000,2
Диски,2019-11-10,103040308,Молоко,Еда,6700,3
Диски,2019-11-10,103040308,Чернила,Работа,2200,1
Диски,2019-11-10,103040308,Бананы,Вкусняшка,7000,2
Диски,2019-11-10,103040308,Чернила,Работа,2200,1
Диски,2019-11-10,103040308,Бумага,Работа,7750,2
Диски,2019-11-10,103040308,Яблоки,Еда,6550,2
Диски,2019-11-10,103040308,Бумага,Работа,7750,1
Трамвай,2019-11-11,414434898,Бананы,Вкусняшка,7000,2
Трамвай,2019-11-11,414434898,Молочный шоколад,Вкусняшка,6900,2
Трамвай,2019-11-11,414434898,Бумага туалетная,Дом,7000,2
Трамвай,2019-11-11,414434898,Бумага,Работа,7750,2
Трамвай,2019-11-11,414434898,Яблоки,Еда,6550,2
Трамвай,2019-11-11,414434898,Чернила,Работа,2200,1
Трамвай,2019-11-11,414434898,Молоко,Еда,6700,3
Трамвай,2019-11-11,414434898,Яблоки,Еда,6550,3
Трамвай,2019-11-11,414434898,Мусорные пакеты,Дом,9050,3
Трамвай,2019-11-12,387767972,Бананы,Вкусняшка,7000,2
Трамвай,2019-11-12,387767972,Яйца,Еда,5950,2
Трамвай,2019-11-12,387767972,Бумага туалетная,Дом,7000,1
Трамвай,2019-11-12,387767972,Яйца,Еда,5950,2
Трамвай,2019-11-12,387767972,Мусорные пакеты,Дом,9050,3
Трамвай,2019-11-12,387767972,Молоко,Еда,6700,1
Диски,2019-11-12,120415669,Чернила,Работа,2200,1
Диски,2019-11-12,120415669,Гвозди,Дом,5000,2
Диски,2019-11-12,120415669,Яблоки,Еда,6550,3
Диски,2019-11-12,120415669,Хлеб,Еда,7500,3
Диски,2019-11-12,120415669,Яблоки,Еда,6550,2
Диски,2019-11-12,120415669,Сосиски молочные,Еда,20000,2
Диски,2019-11-13,511705119,Молоко,Еда,6700,3
Диски,2019-11-13,511705119,Яблоки,Еда,6550,1
Диски,2019-11-13,511705119,Яблоки,Еда,6550,3
Диски,2019-11-13,511705119,Бумага,Работа,7750,1
Диски,2019-11-13,511705119,Молочный шоколад,Вкусняшка,6900,3
Диски,2019-11-13,511705119,Бумага туалетная,Дом,7000,2
Четвёрочка,2019-11-15,730348295,Молочный шоколад,Вкусняшка,6900,3
Четвёрочка,2019-11-15,730348295,Гвозди,Дом,5000,1
Четвёрочка,2019-11-15,730348295,Яблоки,Еда,6550,2
Четвёрочка,2019-11-15,730348295,Сосиски молочные,Еда,20000,2
Тупичок,2019-11-15,678097807,Яйца,Еда,5950,2
Тупичок,2019-11-15,678097807,Молоко,Еда,6700,3
Тупичок,2019-11-15,678097807,Гвозди,Дом,5000,2
Тупичок,2019-11-15,678097807,Молоко,Еда,6700,2
Тупичок,2019-11-15,678097807,Черешня,Вкусняшки,15000,3
Мячик,2019-11-15,655761636,Яйца,Еда,5950,3
Мячик,2019-11-15,655761636,Молоко,Еда,6700,1
Четвёрочка,2019-11-15,895591047,Яйца,Еда,5950,3
Четвёрочка,2019-11-15,895591047,Хлеб,Еда,7500,3
Четвёрочка,2019-11-15,895591047,Молочный шоколад,Вкусняшка,6900,1
Четвёрочка,2019-11-15,895591047,Молоко,Еда,6700,2
Диски,2019-11-16,553643011,Мусорные пакеты,Дом,9050,3
Диски,2019-11-16,553643011,Яблоки,Еда,6550,1
Трамвай,2019-11-17,754050222,Гвозди,Дом,5000,1
Трамвай,2019-11-17,754050222,Сосиски молочные,Еда,20000,1
Четвёрочка,2019-11-18,38431363,Яйца,Еда,5950,2
Четвёрочка,2019-11-18,38431363,Гвозди,Дом,5000,3
Четвёрочка,2019-11-18,38431363,Молочный шоколад,Вкусняшка,6900,3
Четвёрочка,2019-11-18,38431363,Молоко,Еда,6700,2
Четвёрочка,2019-11-18,38431363,Молоко,Еда,6700,2
Четвёрочка,2019-11-18,38431363,Молоко,Еда,6700,1
Четвёрочка,2019-11-18,38431363,Яйца,Еда,5950,1
Четвёрочка,2019-11-18,38431363,Мусорные пакеты,Дом,9050,2
Четвёрочка,2019-11-18,38431363,Бананы,Вкусняшка,7000,2
Четвёрочка,2019-11-18,38431363,Яблоки,Еда,6550,1
Мячик,2019-11-19,633564356,Молоко,Еда,6700,3
Мячик,2019-11-19,633564356,Бумага,Работа,7750,1
Тупичок,2019-11-21,838041396,Сосиски молочные,Еда,20000,3
Тупичок,2019-11-21,838041396,Мусорные пакеты,Дом,9050,3
Четвёрочка,2019-11-22,666031709,Бумага,Работа,7750,2
Четвёрочка,2019-11-22,666031709,Бумага,Работа,7750,3
Четвёрочка,2019-11-22,666031709,Молоко,Еда,6700,2
Четвёрочка,2019-11-22,666031709,Хлеб,Еда,7500,3
Четвёрочка,2019-11-22,666031709,Молочный шоколад,Вкусняшка,6900,3
Четвёрочка,2019-11-22,666031709,Бананы,Вкусняшка,7000,1
Четвёрочка,2019-11-22,666031709,Молочный шоколад,Вкусняшка,6900,2
Четвёрочка,2019-11-22,666031709,Мусорные пакеты,Дом,9050,1
Четвёрочка,2019-11-22,48682251,Мусорные пакеты,Дом,9050,3
Четвёрочка,2019-11-22,48682251,Хлеб,Еда,7500,1
Четвёрочка,2019-11-22,48682251,Сосиски молочные,Еда,20000,3
Четвёрочка,2019-11-22,48682251,Яйца,Еда,5950,2
Четвёрочка,2019-11-22,48682251,Молочный шоколад,Вкусняшка,6900,3
Четвёрочка,2019-11-22,48682251,Бумага туалетная,Дом,7000,3
Четвёрочка,2019-11-25,737332928,Молоко,Еда,6700,1
Четвёрочка,2019-11-25,737332928,Бананы,Вкусняшка,7000,1
Четвёрочка,2019-11-25,737332928,Молочный шоколад,Вкусняшка,6900,1
Четвёрочка,2019-11-25,737332928,Яйца,Еда,5950,3
Четвёрочка,2019-11-25,737332928,Яйца,Еда,5950,3
Четвёрочка,2019-11-25,737332928,Бананы,Вкусняшка,7000,1
Четвёрочка,2019-11-25,737332928,Чернила,Работа,2200,1
Четвёрочка,2019-11-25,737332928,Бананы,Вкусняшка,7000,2
Мячик,2019-11-25,906274965,Бананы,Вкусняшка,7000,1
Мячик,2019-11-25,906274965,Мусорные пакеты,Дом,9050,2
Диски,2019-11-26,48767012,Яйца,Еда,5950,2
Диски,2019-11-26,48767012,Яблоки,Еда,6550,3
Диски,2019-11-26,48767012,Молоко,Еда,6700,2
Диски,2019-11-26,48767012,Молоко,Еда,6700,2
Диски,2019-11-26,48767012,Бумага туалетная,Дом,7000,3
Диски,2019-11-26,48767012,Молочный шоколад,Вкусняшка,6900,1
Диски,2019-11-26,48767012,Гвозди,Дом,5000,2
Диски,2019-11-26,559086,Сосиски молочные,Еда,20000,2
Диски,2019-11-26,559086,Яйца,Еда,5950,3
Диски,2019-11-26,559086,Яйца,Еда,5950,3
Диски,2019-11-26,559086,Хлеб,Еда,7500,1
Диски,2019-11-26,559086,Яйца,Еда,5950,2
Диски,2019-11-26,559086,Бумага туалетная,Дом,7000,3
Диски,2019-11-26,559086,Хлеб,Еда,7500,3
Диски,2019-11-26,559086,Бумага туалетная,Дом,7000,1
